    0.000000000    0.366209956    0.366223229
    0.025196348    0.366218544    0.366228032
    0.050392697    0.366229539    0.366232968
    0.075589045    0.366241461    0.366237998
    0.100785393    0.366252589    0.366243081
    0.125981742    0.366261393    0.366248173
    0.151178090    0.366266918    0.366253245
    0.176374438    0.366269026    0.366258277
    0.201570787    0.366268431    0.366263267
    0.226767135    0.366266531    0.366268228
    0.251963483    0.366265053    0.366273181
    0.277159831    0.366265629    0.366278148
    0.302356180    0.366269385    0.366283149
    0.327552528    0.366276654    0.366288195
    0.352748876    0.366286894    0.366293283
    0.377945225    0.366298816    0.366298398
    0.403141573    0.366310702    0.366303521
    0.428337921    0.366320838    0.366308625
    0.453534270    0.366327938    0.366313694
    0.478730618    0.366331470    0.366318715
    0.503926966    0.366331792    0.366323691
    0.529123315    0.366330067    0.366328636
    0.554319663    0.366327977    0.366333572
    0.579516011    0.366327302    0.366338522
    0.604712360    0.366329477    0.366343508
    0.629908708    0.366335230    0.366348542
    0.655105056    0.366344398    0.366353624
    0.680301405    0.366355962    0.366358741
    0.705497753    0.366368299    0.366363872
    0.730694101    0.366379585    0.366368993
    0.755890449    0.366388250    0.366374080
    0.781086798    0.366393372    0.366379118
    0.806283146    0.366394912    0.366384107
    0.831479494    0.366393726    0.366389056
    0.856675843    0.366391357    0.366393985
    0.881872191    0.366389650    0.366398920
    0.907068539    0.366390295    0.366403886
    0.932264888    0.366394399    0.366408898
    0.957461236    0.366402212    0.366413963
    0.982657584    0.366413055    0.366419072
    1.007853933    0.366425490    0.366424205
    1.033050281    0.366437671    0.366429338
    1.058246629    0.366447809    0.366434444
    1.083442978    0.366454616    0.366439505
    1.108639326    0.366457633    0.366444512
    1.133835674    0.366457345    0.366449472
    1.159032023    0.366455066    0.366454402
    1.184228371    0.366452615    0.366459326
    1.209424719    0.366451864    0.366464272
    1.234621067    0.366454265    0.366469261
    1.259817416    0.366460493    0.366474304
    1.285013764    0.366470266    0.366479398
    1.310210112    0.366482416    0.366484527
    1.335406461    0.366495172    0.366489667
    1.360602809    0.366506607    0.366494791
    1.385799157    0.366515112    0.366499875
    1.410995506    0.366519803    0.366504905
    1.436191854    0.366520748    0.366509882
    1.461388202    0.366518950    0.366514818
    1.486584551    0.366516103    0.366519737
    1.511780899    0.366514172    0.366524666
    1.536977247    0.366514903    0.366529631
    1.562173596    0.366519384    0.366534649
    1.587369944    0.366527770    0.366539722
    1.612566292    0.366539241    0.366544841
    1.637762641    0.366552202    0.366549983
    1.662958989    0.366564676    0.366555121
    1.688155337    0.366574801    0.366560227
    1.713351685    0.366581290    0.366565283
    1.738548034    0.366583761    0.366570281
    1.763744382    0.366582835    0.366575229
